split_seed,subset,variant,blocks,n_features,model_seed,model_kind,n_train,n_valid,n_test,pearson,spearman,r2,rmse,mae
67,EMPTY,EMPTY_intercept_only_0,none,0,810067,intercept_only_train_mean,5640,130,123,,,-0.0062263514981044,0.3982696763805534,0.2784437518947828
67,E,E_engineered_2214,E,2214,810067,Pipeline,5640,130,123,0.6492383315185369,0.620100121726898,0.4190552988420383,0.3026194204923203,0.2241110599988287
67,O,O_ordered_118,O,118,810067,Pipeline,5640,130,123,0.6670357400074336,0.5823279510523574,0.4335612993245731,0.2988173822253873,0.2248436776949597
67,L,L_local_102,L,102,810067,Pipeline,5640,130,123,0.5705437328112226,0.5471292909290326,0.3209489933514977,0.3271753657191777,0.2428001826835399
67,EO,EO_engineered_plus_ordered_2332,E+O,2332,810067,Pipeline,5640,130,123,0.6763288568548715,0.6281098598142772,0.4508496656293244,0.2942219192021728,0.2168302182513051
67,EL,EL_engineered_plus_local_2316,E+L,2316,810067,Pipeline,5640,130,123,0.6641100331336635,0.6218349200727153,0.4360583608015406,0.298158008553967,0.2231461996148531
67,OL,OL_ordered_plus_local_220,O+L,220,810067,Pipeline,5640,130,123,0.6787028201498254,0.605160863852974,0.4437162080487141,0.2961267232699814,0.2264865369235024
67,EOL,EOL_full_2434,E+O+L,2434,810067,Pipeline,5640,130,123,0.685481346455934,0.6267071882893135,0.462656728908143,0.291041758147408,0.2222079710640815
68,EMPTY,EMPTY_intercept_only_0,none,0,810068,intercept_only_train_mean,5661,115,136,,,-0.0001357316348209,0.3714438614915395,0.2831831086923828
68,E,E_engineered_2214,E,2214,810068,Pipeline,5661,115,136,0.4859341805626107,0.4979962596861618,0.1522267978545401,0.3419822427114474,0.2427900185756739
68,O,O_ordered_118,O,118,810068,Pipeline,5661,115,136,0.5370247708916612,0.5370524979977876,0.267226975666862,0.3179424016261589,0.2298145470063498
68,L,L_local_102,L,102,810068,Pipeline,5661,115,136,0.5504416809333994,0.5094963709318427,0.296233736022979,0.3115860000574298,0.2315942139595621
68,EO,EO_engineered_plus_ordered_2332,E+O,2332,810068,Pipeline,5661,115,136,0.5110173694717753,0.5284817373397731,0.1909005977056126,0.334090905800684,0.2358803062261084
68,EL,EL_engineered_plus_local_2316,E+L,2316,810068,Pipeline,5661,115,136,0.5133561493742286,0.4900719438203325,0.200466444038851,0.3321100833279863,0.2411825854956295
68,OL,OL_ordered_plus_local_220,O+L,220,810068,Pipeline,5661,115,136,0.5666805956113524,0.5502557154322744,0.3003760255458014,0.3106676665863435,0.2251408793933516
68,EOL,EOL_full_2434,E+O+L,2434,810068,Pipeline,5661,115,136,0.5182351745656956,0.5170294072760026,0.2007129144665924,0.3320588899646834,0.2394745411943381
69,EMPTY,EMPTY_intercept_only_0,none,0,810069,intercept_only_train_mean,5690,118,159,,,-0.0607965994776602,0.4351569987497614,0.3292782730471773
69,E,E_engineered_2214,E,2214,810069,Pipeline,5690,118,159,0.6724966035260803,0.6090733763636038,0.4316650971879882,0.3185166044814281,0.2438166693346735
69,O,O_ordered_118,O,118,810069,Pipeline,5690,118,159,0.6248567131342722,0.5857733871652572,0.3807940894669158,0.3324661696710873,0.2592076150125524
69,L,L_local_102,L,102,810069,Pipeline,5690,118,159,0.5568493867712129,0.5249536309428486,0.2772765108312772,0.3591831859437664,0.2746582821296233
69,EO,EO_engineered_plus_ordered_2332,E+O,2332,810069,Pipeline,5690,118,159,0.6954426878258378,0.6582944727398659,0.4607998797113074,0.3102450804032383,0.2386777587646053
69,EL,EL_engineered_plus_local_2316,E+L,2316,810069,Pipeline,5690,118,159,0.7030985123703339,0.6699974325139271,0.4575123028855443,0.3111894464367344,0.2313581484487324
69,OL,OL_ordered_plus_local_220,O+L,220,810069,Pipeline,5690,118,159,0.6341391304722269,0.6134085867765583,0.3899661794155573,0.3299946279348961,0.2548519720322557
69,EOL,EOL_full_2434,E+O+L,2434,810069,Pipeline,5690,118,159,0.7060356865254177,0.686371127126386,0.4687044850546566,0.3079626075721839,0.2335972687177859
70,EMPTY,EMPTY_intercept_only_0,none,0,810070,intercept_only_train_mean,5646,122,145,,,-0.0031718091939052,0.3876134326538903,0.2929361179679687
70,E,E_engineered_2214,E,2214,810070,Pipeline,5646,122,145,0.7052423353272934,0.7082986028764676,0.4889703850124376,0.2766522418386596,0.2001347258133015
70,O,O_ordered_118,O,118,810070,Pipeline,5646,122,145,0.6083300964934993,0.6290590350528898,0.3621111733901418,0.309089076458919,0.2216197983956014
70,L,L_local_102,L,102,810070,Pipeline,5646,122,145,0.6030649259499277,0.5706390328773717,0.3598897545183697,0.3096268030501098,0.2354383670033947
70,EO,EO_engineered_plus_ordered_2332,E+O,2332,810070,Pipeline,5646,122,145,0.6935428405961156,0.6951746724679326,0.4744886498119248,0.280544791174217,0.2026648987166707
70,EL,EL_engineered_plus_local_2316,E+L,2316,810070,Pipeline,5646,122,145,0.6855068853709583,0.6995322582394528,0.4642632416956033,0.2832610639921231,0.2036310125692978
70,OL,OL_ordered_plus_local_220,O+L,220,810070,Pipeline,5646,122,145,0.6271140086219145,0.6385496757892359,0.3831835294462973,0.3039408966676722,0.218256305556576
70,EOL,EOL_full_2434,E+O+L,2434,810070,Pipeline,5646,122,145,0.6994958328454931,0.6908170866964125,0.4818430339983962,0.2785748016311813,0.2054661472970496
71,EMPTY,EMPTY_intercept_only_0,none,0,810071,intercept_only_train_mean,5705,114,116,,,-0.0026534565762501,0.4425383825248044,0.3014227999628617
71,E,E_engineered_2214,E,2214,810071,Pipeline,5705,114,116,0.6770691407074103,0.5843616653211855,0.4420375563426075,0.3301246853846105,0.2163804187127986
71,O,O_ordered_118,O,118,810071,Pipeline,5705,114,116,0.6978610463637499,0.6040287548533425,0.4655258180519797,0.3231014314664328,0.2168789227467495
71,L,L_local_102,L,102,810071,Pipeline,5705,114,116,0.5621464750446911,0.4825560613113064,0.3061341738796805,0.3681402184614528,0.2492364426291163
71,EO,EO_engineered_plus_ordered_2332,E+O,2332,810071,Pipeline,5705,114,116,0.7162279867890572,0.6276861569215393,0.4917795292489794,0.3150660393748972,0.2074692706229495
71,EL,EL_engineered_plus_local_2316,E+L,2316,810071,Pipeline,5705,114,116,0.6976783037139833,0.6376580940299081,0.4673875008998294,0.3225382264274342,0.2065587443765171
