block,block_name,comparison,metric,n_splits,oriented_gain_mean,oriented_gain_std,bootstrap_ci95_low,bootstrap_ci95_high,fraction_positive,exact_signflip_two_sided_p,exact_signflip_one_sided_greater_p
E,engineered,EOL_minus_OL,pearson,5,0.0251292893666673,0.0504340014547756,-0.0133322361555342,0.0623183443699308,0.8,0.3125,0.15625
E,engineered,EOL_minus_OL,spearman,5,0.0289545635300953,0.0400208658413455,-0.0051730378250598,0.0564064367957068,0.8,0.25,0.125
E,engineered,EOL_minus_OL,r2,5,0.0264745734058145,0.0774511208346087,-0.0369106761081746,0.078731468030965,0.8,0.5,0.25
E,engineered,EOL_minus_OL,rmse,5,0.0083605970308476,0.018557480676844,-0.006744521995191,0.0211014717618415,0.8,0.3125,0.15625
E,engineered,EOL_minus_OL,mae,5,0.0075804780627716,0.0136505808938098,-0.0034935432458137,0.0166249628502641,0.8,0.3125,0.15625
O,ordered-register,EOL_minus_EL,pearson,5,0.0103800752263359,0.0074537317004567,0.004871262936285,0.0165963825265626,1.0,0.0625,0.03125
O,ordered-register,EOL_minus_EL,spearman,5,0.0082605464236766,0.0137532279473484,-0.0017858240232179,0.019812112471233,0.8,0.3125,0.15625
O,ordered-register,EOL_minus_EL,r2,5,0.0127112226681269,0.0099624865611962,0.0052517007840805,0.0210628393913971,1.0,0.0625,0.03125
O,ordered-register,EOL_minus_EL,rmse,5,0.0034987004541176,0.0026284512101492,0.0014642047719541,0.0056582575791886,1.0,0.0625,0.03125
O,ordered-register,EOL_minus_EL,mae,5,-8.89288768639529e-05,0.0018101435455727,-0.0015138315548979,0.0012641985348398,0.6,0.9375,0.5625
L,local-register,EOL_minus_EO,pearson,5,0.0046181037114379,0.0082677960158209,-0.002874363881962,0.0093768955898358,0.8,0.3125,0.15625
L,local-register,EOL_minus_EO,spearman,5,0.0045300963022661,0.0156262689922088,-0.006604500639109,0.0183025104456471,0.4,0.6875,0.34375
L,local-register,EOL_minus_EO,r2,5,0.0040851283109709,0.0116136659632788,-0.0064382966193683,0.0102460801046308,0.8,0.4375,0.21875
L,local-register,EOL_minus_EO,rmse,5,0.0008810818975104,0.003355865503306,-0.0021850453915638,0.002708497708666,0.8,0.5625,0.28125
L,local-register,EOL_minus_EO,mae,5,-0.0009597764615421,0.0043150315654373,-0.0041490448284782,0.0027082198358166,0.4,0.625,0.71875
