metric,block,block_name,n_splits,shapley_mean,shapley_std,fraction_positive,correlation_empty_zero_convention
pearson,E,engineered,5,0.2403136378016763,0.062291367426574,1.0,True
pearson,O,ordered-register,5,0.2274518082563791,0.0305515124342621,1.0,True
pearson,L,local-register,5,0.1953646059609139,0.0064469270191086,1.0,True
spearman,E,engineered,5,0.2337677074031758,0.051469619895593,1.0,True
spearman,O,ordered-register,5,0.2152618588646982,0.0122573006167837,1.0,True
spearman,L,local-register,5,0.1830499098910697,0.0126177288506074,1.0,True
r2,E,engineered,5,0.163447584974103,0.1013520304471771,0.8,False
r2,O,ordered-register,5,0.1540923316713453,0.0398481449364785,1.0,False
r2,L,local-register,5,0.1149056657631005,0.0102217751175789,1.0,False
rmse,E,engineered,5,0.039652091802637,0.0250973520573136,0.8,False
rmse,O,ordered-register,5,0.03606901686032,0.0121210579427246,1.0,False
rmse,L,local-register,5,0.0253306964036213,0.0019794463393715,1.0,False
mae,E,engineered,5,0.032352000168743,0.0170607641878882,1.0,False
mae,O,ordered-register,5,0.0260041298568315,0.0055973388270246,1.0,False
mae,L,local-register,5,0.0174324133095901,0.0046733252494032,1.0,False
