official_set_id,variant,status,member_count,target_count,target_count_scored,candidate_pair_count,reported_exact_topk_recovery,derived_exact_topk_recovery,reported_vs_derived_exact_match,weakest_target_score,strongest_offtarget_score,set_orthogonality_gap,reported_average_precision,reported_partner_top1_accuracy
4H_1or2N_0_DNA-ALL-basicL-rep-core_vertical-Ridge-WbnRD10_P00_bc-47.00_nc-42.00-hetero-ex.00.00.aA.fasta,xgb_x2_1250_final_shared_2434,OK,11,11,11,66,True,True,True,1.395869541168213,0.9316575229167938,0.4642120182514191,1.0,1.0
4H_1or2N_0_DNA-ALL-basicL-rep-core_vertical-Ridge-WbnRD10_P00_bc-47.00_nc-42.00-hetero-ex.01.00.aA.fasta,xgb_x2_1250_final_shared_2434,OK,12,11,11,78,True,True,True,1.321282005310059,0.927890944480896,0.3933910608291626,1.0,1.0
4H_1or2N_0_DNA-ALL-basicL-rep-core_vertical-Ridge-WbnRD10_P00_bc-49.00_nc-43.00-hetero-ex.00.00.aA.fasta,xgb_x2_1250_final_shared_2434,OK,9,5,5,45,False,False,True,-0.4082518637180328,0.3404945969581604,-0.7487464606761933,0.8833333333333333,0.8888888888888888
4H_1or2N_0_DNA-ALL-basicL-rep-nter_core-Ridge-WbnRD10_P00_bc-47.00_nc-40.80-all.05.aA.fasta,xgb_x2_1250_final_shared_2434,OK,18,15,15,171,True,True,True,1.3246984720230102,0.1416465818881988,1.1830518901348113,1.0,1.0
4H_1or2N_0_DNA-ALL-basicL-rep-nter_core-Ridge-WbnRD10_P00_bc-49.00_nc-40.80-all.00.aA.fasta,xgb_x2_1250_final_shared_2434,OK,7,5,5,28,True,True,True,-0.5106270551681519,-0.6673219442367554,0.1566948890686035,1.0,1.0
4H_1or2N_5_DNA-ALL-basic-rep-Ridge-WbnRD10_P07_bc-49.00_nc-41.20-all.00.aA.fasta,xgb_x2_1250_final_shared_2434,OK,10,5,5,54,True,True,True,1.8538709163665767,0.4708854198455811,1.382985496520996,1.0,1.0
4H_1or2N_5_DNA-ALL-basicL-rep-core_vertical-Ridge-WbnRD10_P07_bc-48.00_nc-42.00-hetero-ex.00.00.aA.fasta,xgb_x2_1250_final_shared_2434,OK,16,14,14,136,False,False,True,1.0792096495628356,1.1598056197166442,-0.0805959701538086,0.9873949579831932,1.0
4H_1or2N_5_DNA-ALL-basicL-rep-core_vertical-Ridge-WbnRD10_P07_bc-49.00_nc-42.00-hetero-ex.00.00.aA.fasta,xgb_x2_1250_final_shared_2434,OK,8,5,5,36,True,True,True,0.2584102749824524,-0.1166563481092453,0.3750666230916977,1.0,1.0
4H_1or2N_bcipa_B07_T1_bc-76.00_nc-46.00-hetero.00.aA.fasta,xgb_x2_1250_final_shared_2434,OK,9,5,5,44,True,True,True,0.6375582933425903,0.4900521337985992,0.147506159543991,1.0,1.0
4H_1or2N_not_last_only_5_DNA-ALL-basic-rep-Ridge-WbnRD10_P07_bc-49.00_nc-41.20-all.00.aA.fasta,xgb_x2_1250_final_shared_2434,OK,8,5,5,36,False,False,True,-0.450659841299057,0.6295824974775315,-1.0802423387765885,0.7892857142857141,0.625
4H_2N_5_DNA-ALL-basic-rep-core_vertical-Ridge-WbnRD10_P07_bc-48.00_nc-42.00-hetero-ex.00.00.aA.fasta,xgb_x2_1250_final_shared_2434,OK,13,7,7,91,True,True,True,1.746165132522583,1.1284834444522858,0.6176816880702973,0.9999999999999998,1.0
4H_2N_5_DNA-ALL-basic-rep-nter_core-Ridge-WbnRD10_P07_bc-48.00_nc-40.70-all.00.aA.fasta,xgb_x2_1250_final_shared_2434,OK,11,9,9,66,True,True,True,0.4192753791809082,-0.4320603013038635,0.8513356804847717,1.0,1.0
AP2N_only_potapov_B07_T1_DEL-1.20-bc-7.95_nc-6.75-all.00.aA.fasta,xgb_x2_1250_final_shared_2434,OK,6,3,3,21,False,False,True,-1.1372139573097229,-0.3879242897033691,-0.7492896676063537,0.7777777777777777,0.8333333333333334
