control,metric,n,target_mean,control_mean,delta_target_minus_control,target_gt_control,equal,target_lt_control
hard_competitor,contacts_lt5,25,38.96,44.16,-5.2,4,3,18
hard_competitor,ad_ad_lt5,25,19.08,21.44,-2.36,1,4,20
hard_competitor,eg_opp_lt6,25,5.68,4.76,0.92,20,5,0
hard_competitor,eg_same_lt6,25,0.88,0.72,0.16,8,6,11
hard_competitor,iptm,25,0.7928000000000001,0.7808000000000002,0.012,15,9,1
hard_competitor,ptm,25,0.8148000000000001,0.8111999999999999,0.0035999999999999,12,6,7
strict_parallel_control,contacts_lt5,25,38.96,45.6,-6.64,1,6,18
strict_parallel_control,ad_ad_lt5,25,19.08,21.6,-2.52,1,7,17
strict_parallel_control,eg_opp_lt6,25,5.68,4.72,0.96,19,6,0
strict_parallel_control,eg_same_lt6,25,0.88,3.0,-2.12,0,6,19
strict_parallel_control,iptm,25,0.7928000000000001,0.8184,-0.0255999999999999,0,0,25
strict_parallel_control,ptm,25,0.8148000000000001,0.8383999999999997,-0.0235999999999999,0,0,25
hard_parallel_favored_control,contacts_lt5,25,38.96,42.84,-3.88,3,3,19
hard_parallel_favored_control,ad_ad_lt5,25,19.08,19.48,-0.4,6,3,16
hard_parallel_favored_control,eg_opp_lt6,25,5.68,2.48,3.2,25,0,0
hard_parallel_favored_control,eg_same_lt6,25,0.88,3.88,-3.0,1,2,22
hard_parallel_favored_control,iptm,25,0.7928000000000001,0.6576000000000001,0.1352,7,0,18
hard_parallel_favored_control,ptm,25,0.8148000000000001,0.75,0.0648,7,0,18
