label,frozen_eol_xgb_score,n_models,parallel_n,antiparallel_n,oblique_n,top5_orientation_mode,top5_orientation_consistency,mean_iptm,median_iptm,mean_ptm,median_ptm,mean_contacts,median_contacts,mean_ad,median_ad,mean_eg_opp,median_eg_opp,mean_eg_same,median_eg_same,rank1_pdb
target,-0.5106270551681519,25,25,0,0,parallel,1.0,0.7928000000000001,0.79,0.8148000000000001,0.81,38.96,36.0,19.08,18.0,5.68,6.0,0.88,0.0,./results/phase82c_modeled_structure/colabfold_main/main_target__4H3651-AA__4H895-AA_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_20260905.pdb
hard_competitor,-0.6673219442367554,25,0,25,0,antiparallel,1.0,0.7808000000000002,0.78,0.8112,0.81,44.16,44.0,21.44,21.0,4.76,5.0,0.72,1.0,./results/phase82c_modeled_structure/colabfold_main/main_competitor__4H3651-AA__4H3365-AA_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_20260905.pdb
strict_parallel_control,-1.576181161403656,25,25,0,0,parallel,1.0,0.8184,0.82,0.8384,0.84,45.6,46.0,21.6,22.0,4.72,5.0,3.0,3.0,./results/phase82d_matched_orientation/colabfold_candidates/matchedcand_04__4H3651-AA__4H140-AA_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_20260904.pdb
hard_parallel_favored_control,-0.7721829354763031,25,18,7,0,parallel,1.0,0.6576000000000001,0.81,0.75,0.83,42.84,46.0,19.48,22.0,2.48,3.0,3.88,5.0,./results/phase82d_matched_orientation/colabfold_candidates/matchedcand_02__4H3651-AA__4H1802-AA_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_20260902.pdb
